"coordinates","name","start_methods","Nid","beds","bicycle","camping","distancetogrocery","freq","fueltypes","anchorpoints","dates","waterstation","mobile","oxygen","runway","sleepinworkshop","parkinhangar"
"65.6447, 21.0567","Aelvsbyn Hoegheden","app, s","756","In most cases yes","Yes","Yes","> 3 km","123.35MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150809T215959Z;WKST=MO
RDATE:20150430T220000Z,20150501T220000Z,20150502T220000Z,20150508T220000Z,20150509T220000Z,20150515T220000Z,20150516T220000Z,20150522T220000Z,20150523T220000Z,20150529T220000Z,20150530T220000Z","Yes","0046706793688","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"47.5603, -0.312222","Angers Marce","w","762","Yes","No","Yes","3 km","124.70MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA,SU;UNTIL=20150914T215959Z;WKST=MO","Yes","0033781687880","No","grass","No","Can be arranged, if requested in advance"
"50.2883, 8.535","Anspach/Taunus","w, amg, app, s","186","No","No","Yes","3 km","121.03MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","Yes","0049 171 6732261","No","grass","Yes","No"
"59.3844, 15.915","Arboga","a699, s","225","Yes","Yes","Yes","3 km","123.15MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150930T215959Z;WKST=MO","Yes","+46-70-3325220","No","grass, concrete / asphalt","Yes","No"
"56.0106, 9.0146","Arnborg  EKAB ","w, amg, app, s","815","In most cases yes","No","Yes","2 km","122.65MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150930T215959Z;WKST=MO","Yes","+4597149155","No","grass","No","No"
"51.3856, 8.06111","ARNSBERG RUHRWIESE","w, s","678","No","Yes","Yes","1 km","123.40MHz","Super unleaded, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=365;WKST=MO","Yes","0049 1523 1912991","No","grass","Yes","Can be arranged, if requested in advance"
"51.1458, 7.93667","Attendorn-Finnentrop EDKU","app, s","221","No","No","Yes","2 km","121.40MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150718T215959Z;WKST=MO","No","+491708171654","No","grass","No","Can be arranged, if requested in advance"
"54.0653, 9.80194","Aukrug","w, s","188","No","No","Yes","2 km","123.35MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20170930T215959Z;WKST=MO","Yes","0049 1525 7351302","No","grass","Yes","No"
"48.7947, 8.18889","Baden-Baden Oos","w, app, s","646","No","No","Yes","1 km","121.00MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=50;WKST=MO","Yes","07221-61616","No","grass","Yes","Can be arranged, if requested in advance"
"51.7464, 11.2311","Ballenstedt-Harz","w, amg, s","211","In most cases yes","Yes","Yes","2 km","122.70MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=56;WKST=MO","No","0049(0)39483-215","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"45.0667, 25.8008","Banesti","w, s","257","No","Yes","Yes","1 km","128.90MHz","Super Plus (Mogas), Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151031T225959Z;WKST=MO","Yes","0744534045","Yes","grass","No","No"
"44.3872, 6.60917","Barcelonnette Saint-Pons","app, s","700","Yes","No","No","1 km","123.50MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=245;WKST=MO","Yes","0033651379804","Yes","concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"46.6781, 21.1558","Bekescsabai LHBC","w, app, s","113","Yes","No","Yes","1 km","123.25MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131020T215959Z;WKST=MO","Yes","+ 36303228881","No","grass, concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"46.6781, 21.1558","Bekescsabai LHBC","w, app, s","687","Yes","No","Yes","1 km","123.25MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131020T215959Z;WKST=MO","Yes","+ 36303228881","No","grass, concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"49.7397, 14.6447","Benesov LKBE","app","84","Yes","No","No","3 km","118.00MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=150;WKST=MO","No","+420 603 927 241","No","grass","No","Can be arranged, if requested in advance"
"51.0523, 7.70747","Bergneustadt Auf dem Duempel","amg, app, s","210","In most cases yes","No","Yes","> 3 km","123.65MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=FR,SA,SU;UNTIL=20191031T225959Z;WKST=MO
EXDATE:20150611T220000Z,20150612T220000Z,20150613T220000Z
RDATE:20150726T220000Z,20150727T220000Z,20150728T220000Z,20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z","Yes","+4915151873483","No","grass","Yes","Can be arranged, if requested in advance"
"53.2214, 12.5603","Berlinchen","w, s","63","No","No","Yes","> 3 km","122.20MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141004T215959Z;WKST=MO","No","0152/23821249","No","grass","No","Can be arranged, if requested in advance"
"52.6711, 10.3553","Berliner Heide","w, amg, s","242","In most cases yes","Yes","Yes","2 km","123.50MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141025T215959Z;WKST=MO
RDATE:20140513T220000Z,20140514T220000Z,20140515T220000Z,20140516T220000Z,20140517T220000Z,20140518T220000Z,20140519T220000Z,20140520T220000Z,20140521T220000Z,20140522T220000Z,20140523T220000Z,20140524T220000Z,20140525T220000Z,20140526T220000Z,20140527T220000Z,20140528T220000Z,20140529T220000Z,20140722T220000Z,20140723T220000Z,20140724T220000Z,20140725T220000Z","Yes","004917692670769","No","grass","Yes","For two 15m gliders or one 20m glider in most cases"
"49.5128, 22.4075","Bezmiechowa","w, s","834","Yes","No","No","3 km","122.80MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20161223T225959Z;WKST=MO","No","0048692958462","No","grass","No","For more or larger gliders than mentioned above in most cases"
"49.805, 19.0019","Bielsko-Biala Aleksandrowice EPBA","w, a499, app, s","254","In most cases yes","No","Yes","1 km","122.20MHz","Avgas, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20131130T225959Z;WKST=MO","Yes","0048698628769","No","grass","Yes","For three 15m gliders or two 20m gliders in most cases"
"44.7961, 15.9036","Bihac Golubic","app, s","230","In most cases yes","Yes","Yes","1 km","123.50MHz","Avgas, Avgas-Mogas-Mix","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141101T225959Z;WKST=MO","Yes","+387 /0/ 61 174 856","No","grass","Yes","Can be arranged, if requested in advance"
"48.4219, 9.80917","Blaubeuren","w, amg, app, s","89","No","No","Yes","1 km","130.60MHz","Avgas, Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131013T215959Z;WKST=MO","No","004917664685157","No","grass","Yes","Can be arranged, if requested in advance"
"44.6992, -0.597222","Bordeaux Leognan Saucats","w, amg, app, s","144","No","No","No","> 3 km","119.00MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=170;WKST=MO","Yes","0033 6 0000000","No","grass","No","Can be arranged, if requested in advance"
"52.1508, 7.45194","Borghorst- Fuechten","w, amg, s","757","No","No","Yes","3 km","123.35MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","+491706555328","No","grass","Yes","For one 15m glider in most cases"
"52.1508, 7.45194","Borghorst- Fuechten Fliegerlager","w, amg, s","774","No","Yes","Yes","3 km","123.35MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20150802T215959Z;WKST=MO","Yes","+491706555328","No","grass","Yes","Can be arranged, if requested in advance"
"51.853, 6.81506","Borken-Hoxfeld EDLY","w, app, s","110","No","No","Yes","2 km","122.93MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","Yes","00492861 / 2046 ","No","grass","No","Can be arranged, if requested in advance"
"52.4389, 12.5944","Brandenburg Muehlenfeld","w, app, s","75","In most cases yes","No","Yes","2 km","118.63MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131020T215959Z;WKST=MO","Yes","+49 177 870 3371","No","grass","No","Can be arranged, if requested in advance"
"","Braunschweig-Wolfsburg","w, app, s","187","Yes","Yes","No","2 km","120.05MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131101T225959Z;WKST=MO","Yes","015121628140","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"51.4023, 8.64108","Brilon","w, amg","812","No","No","Yes","> 3 km","129.38MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","No","+49 151 111 66 1821","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.6723, 13.9585","Bronkow EDBQ","w, amg, app, s","768","In most cases yes","No","Yes","> 3 km","130.33MHz","Avgas, Avgas-Mogas-Mix, Super Plus (Mogas), Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150809T215959Z;WKST=MO","No","00491716773988","No","grass","No","No"
"49.7941, 11.1332","Burg Feuerstein EDQE","amg, app, s","227","In most cases yes","Yes","Yes","2 km","130.78MHz","Avgas, Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191031T225959Z;WKST=MO","Yes","0049 157 3840 4850","No","grass, concrete / asphalt","Yes","For one 15m glider in most cases"
"52.186, -0.1113","Cambridge Gliding Centre Gransden Lodge Airfield","w, app","175","Yes","No","Yes","2 km","131.28MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130930T215959Z;WKST=MO","Yes","07900692335","No","grass","No","No"
"52.6694, 10.0889","Celle Scheuen","w, amg, s","760","No","No","Yes","3 km","122.20MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150927T215959Z;WKST=MO
RDATE:20150726T220000Z,20150727T220000Z,20150728T220000Z,20150729T220000Z,20150730T220000Z,20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z,20150806T220000Z","Yes","+491724306368","No","grass","Yes","For one 15m glider in most cases"
"42.3883, 1.86667","Cerdanya Aeroport","app, s","41","No","Yes","No","1 km","123.50MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131231T225959Z;WKST=MO","Yes","661232703","Yes","concrete / asphalt","No","Can be arranged, if requested in advance"
"48.905, 4.35139","Châlons-Ecury","w, app, s","702","No","No","Yes","3 km","118.98MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140930T215959Z;WKST=MO","Yes","03.26.67.61.13","No","grass","No","Can be arranged, if requested in advance"
"49.2111, 12.6583","Cham Janahof","w, app, s","232","No","No","Yes","1 km","130.13MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131005T215959Z;WKST=MO
RDATE:20130804T220000Z,20130805T220000Z,20130806T220000Z,20130807T220000Z,20130808T220000Z,20130811T220000Z,20130812T220000Z,20130813T220000Z,20130814T220000Z,20130815T220000Z","Yes","+49 176 60884608","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"45.5605, 5.97583","Chambery - Challes les Eaux","w, app, s","170","In most cases yes","No","Yes","1 km","118.40MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131224T225959Z;WKST=MO","No","+33 (0)6 78 52 29 61","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"47.0819, -0.877222","Cholet","w, s","703","In most cases yes","No","No","3 km","120.40MHz","Avgas, JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150927T215959Z;WKST=MO","Yes","+33(0)684104349","No","grass, concrete / asphalt","Yes","For two 15m gliders or one 20m glider in most cases"
"51.5522, 12.0539","Clone of Halle Oppin EDAQ","w, s","715","Yes","No","Yes","> 3 km","135.15MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141102T225959Z;WKST=MO","Yes","0049 160 95437132","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"51.395, 12.5386","Clone of Taucha - EDCT","w, s","816","Yes","No","Yes","3 km","122.40MHz","Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150807T215959Z;WKST=MO","No","00491638659082","No","grass","No","Can be arranged, if requested in advance"
"51.395, 12.5386","Clone of Taucha - EDCT","w, s","817","Yes","No","Yes","3 km","122.40MHz","Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20151016T215959Z;WKST=MO","No","00491638659082","No","grass","No","Can be arranged, if requested in advance"
"48.8107, 3.08297","COULOMMIERS","w, app","245","No","Yes","Yes","2 km","122.20MHz","","No","","Yes","0033614411268","No","grass","Yes","For three 15m gliders or two 20m gliders in most cases"
"47.1836, 7.09083","Courtelary","app, s","79","No","No","No","1 km","124.60MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO","No"," +41 32 944 12 80","No","grass","No","No"
"43.3375, -1.42222","CVV ITXASSOU 64 FRANCE LFIX","a699, app, s","174","No","No","Yes","1 km","123.50MHz","Super Plus (Mogas)","No","","Yes","0033680991061","No","grass","No","For one 15m glider in most cases"
"50.8864, 19.2025","Czestochowa Rudniki","w, app","791","Yes","No","Yes","1 km","122.80MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191031T225959Z;WKST=MO","No","111","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"60.5531, 14.3753","Dala-Jaerna","app, s","201","In most cases yes","No","Yes","1 km","123.35MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151015T215959Z;WKST=MO","Yes","+46705680023","No","grass, concrete / asphalt","No","No"
"51.5361, 9.37972","Der Dingel","w","146","In most cases yes","No","Yes","1 km","123.15MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","Yes","0049-160-94409148","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"51.5361, 9.37972","Der Dingel","w","676","In most cases yes","No","Yes","1 km","123.15MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141031T225959Z;WKST=MO","Yes","0049-160-94409148","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"50.9044, 9.24028","Der Ring Schwalmstadt","w, amg, s","34","No","No","No","1 km","123.38MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150906T215959Z;WKST=MO","Yes","004966915405","No","grass","No","No"
"51.8319, 12.1842","Dessau","w, amg, s","39","Yes","No","Yes","1 km","122.30MHz","Avgas, JetA1","No","","Yes","0049017656317482","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.0892, 9.91917","Dornberg Sontra","w, s","827","No","No","Yes","2 km","123.50MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151115T225959Z;WKST=MO
RDATE:20150809T220000Z,20150810T220000Z,20150811T220000Z,20150812T220000Z,20150813T220000Z","Yes","0049 173 9773056","No","grass","No","Can be arranged, if requested in advance"
"51.6619, 6.98528","Dorsten am Kanal","w, s","746","No","No","Yes","1 km","123.35MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20140928T215959Z;WKST=MO","Yes"," 02362/44221","No","grass","No","Can be arranged, if requested in advance"
"47.6178, 19.1433","Dunakeszi LHDK","w, app","61","Yes","No","Yes","2 km","129.80MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO
RDATE:20130430T220000Z","Yes","+36-30-2519909","No","grass","No","Can be arranged, if requested in advance"
"51.3969, 4.96528","EBWE - Weelde","w, app, s","253","No","No","Yes","3 km","119.60MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141026T225959Z;WKST=MO","Yes","+32 475 914056","No","grass, concrete / asphalt","No","No"
"","EBZH","app, s","743","No","No","Yes","3 km","118.32MHz","Avgas, Super Plus (Mogas)","Yes","","Yes","+32475811100","No","grass","No","Can be arranged, if requested in advance"
"51.0148, 5.52444","EBZW - Zwartberg","app, s","239","No","No","No","3 km","120.40MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=999;WKST=MO","Yes","0031000000000","No","grass, concrete / asphalt","No","No"
"50.645, 13.1281","EDAG Flugplatz Großrueckerswalde 2015","w, amg, app, s","682","In most cases yes","Yes","Yes","2 km","123.00MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150927T215959Z;WKST=MO","Yes","0049 172 4923113","No","grass","Yes","For one 15m glider in most cases"
"50.645, 13.1281","EDAG Flugplatz Großrueckerswalde Senioren 2015","w, amg, app, s","766","In most cases yes","Yes","Yes","2 km","123.00MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150612T215959Z;WKST=MO","Yes","0049 172 4923113","No","grass","Yes","For one 15m glider in most cases"
"50.645, 13.1281","EDAG Flugplatz Großrueckerswalde Sommer 2015","w, amg, app, s","767","In most cases yes","Yes","Yes","2 km","123.00MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150814T215959Z;WKST=MO","Yes","0049 172 4923113","No","grass","Yes","For one 15m glider in most cases"
"40.8528, 21.8278","Edessa Gliding Club","w, s","36","Yes","Yes","Yes","2 km","123.40MHz","Super unleaded, Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,TH,FR,SA,SU;UNTIL=20131030T225959Z;WKST=MO","Yes","for flights and gliding related matters call : +306983501584","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"49.5817, 9.40222","EDEW Wallduern","w, a499, a699, app, s","236","No","Yes","Yes","2 km","122.75MHz","Avgas, Super Plus (Mogas), Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=500;WKST=MO","Yes","+49 176 56335431","No","concrete / asphalt","Yes","For two 15m gliders or one 20m glider in most cases"
"51.3119, 9.18111","EDGW Wolfhagen Graner Berg","a499, app, s","165","No","Yes","Yes","2 km","127.45MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151015T215959Z;WKST=MO
RDATE:20150531T220000Z,20150601T220000Z,20150602T220000Z,20150603T220000Z,20150604T220000Z,20150607T220000Z,20150608T220000Z,20150609T220000Z,20150610T220000Z,20150611T220000Z","Yes","0049160 9740 3887","No","grass","Yes","Can be arranged, if requested in advance"
"48.9011, 12.5183","EDMS Straubing","a499, amg, s","217","No","No","No","3 km","127.15MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20170924T215959Z;WKST=MO","No","0049 1738609229","No","grass, concrete / asphalt","No","No"
"48.2382, 12.9768","EDNK","a499, a699, app, s","689","Yes","No","Yes","1 km","118.63MHz","Super Plus (Mogas), Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20150930T215959Z;WKST=MO","No","017641628427","No","grass","No","No"
"52.0014, 11.7948","EDOZ - Flug- und Schulbetrieb","w, amg, s","665","Yes","No","Yes","> 3 km","123.00MHz","Super Plus (Mogas), Super unleaded, Two stroke engine oil","No","RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20141101T225959Z;WKST=MO","Yes","+491701601001","No","grass","Yes","Can be arranged, if requested in advance"
"60.3357, 24.2975","EFNU Nummela","app, s","636","Yes","No","Yes","1 km","122.10MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20140930T215959Z;WKST=MO","Yes","+358400543836","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"67.3954, 26.6189","EFSO","app","638","No","No","Yes","3 km","123.40MHz","Avgas, JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20140914T215959Z;WKST=MO","Yes","+358405430765","No","concrete / asphalt","No","No"
"52.1883, 14.5872","Eisenhuettenstadt","w, a499, app, s","168","In most cases yes","No","Yes","> 3 km","122.00MHz","Avgas, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=150;WKST=MO","Yes","no mobil, only email","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"56.8474, 9.46329","EKVH Vesthimmerland Denmark","w, amg","781","Yes","No","Yes","> 3 km","122.23MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151025T225959Z;WKST=MO
RDATE:20150705T220000Z,20150706T220000Z,20150707T220000Z,20150708T220000Z,20150709T220000Z","Yes","+45 31163910","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"46.4047, 12.8846","Enemonzo","amg","643","No","Yes","Yes","1 km","122.00MHz","Super unleaded","No","","Yes","+39 335 8417280","No","grass","No","Can be arranged, if requested in advance"
